,Country,Wins,Gold,Silver,Bronze,Loss
669,Santa Maria,0,0,0,0,1
670,Dormy-1,0,0,0,0,1
671,Umberta V,0,0,0,0,1
672,Rozenn-3,0,0,0,0,1
673,Jest,0,0,0,0,1
674,Magdalen College Boat Club-1,0,0,0,0,1
675,Western Golf Association-1,0,0,0,0,4
676,Scotia,1,1,0,0,2
677,Red Dragon,0,0,0,0,1
678,"R.-V. Germania, Leitmeritz",0,0,0,0,1
679,Hungary-1,0,0,0,0,1
680,Akatonbo,0,0,0,0,1
681,Terrible,0,0,0,0,1
682,Elisabeth V,0,0,0,0,1
683,Studenternes Roklub-2,0,0,0,0,2
684,Rififi,0,0,0,0,1
685,New York Athletic Club #1-1,0,0,0,0,1
686,Partenope,0,0,0,0,1
687,Bermudes,0,0,0,0,1
688,England,0,0,0,0,1
689,Cornwall,0,0,0,0,2
690,Kiribati,0,0,0,0,1
691,United States-7,0,0,0,0,1
692,Diablo,0,0,0,0,1
693,Plume-patte-32,0,0,0,0,1
694,Plume-Patte-5,0,0,0,0,2
695,Pierre et Jean-3,0,0,0,0,1
696,Pierre et Jean-4,0,0,0,0,2
697,Espadarte,0,0,0,0,1
698,Fruits,0,0,0,0,5
699,Belgium-2,0,0,0,0,6
700,Sidi Fekkar-36,0,0,0,0,1
701,Sidi-Fekkar-14,0,0,0,0,2
702,Souvenance,0,0,0,0,1
703,Meteor,0,0,0,0,1
704,Kurush IV,0,0,0,0,4
705,Vesania,0,0,0,0,2
706,Kurush II,0,0,0,0,2
707,Canopus,0,0,0,0,1
708,Crabe I-11,0,0,0,0,1
709,Crabe I-3,0,0,0,0,1
710,Crabe I-2,0,0,0,0,1
711,Gwendoline-22,0,0,0,0,1
712,Gwendoline-2,1,1,0,0,1
713,United States/France,0,0,0,0,2
714,Vicking,0,0,0,0,1
715,Daisy,0,0,0,0,1
716,Virginie,0,0,0,0,1
